date,case,recovered,death,plat
5-Aug-20,1283,238,2,103.6
4-Aug-20,1021,238,2,103.6
3-Aug-20,659,238,2,103.6
2-Aug-20,522,238,2,103.6
1-Aug-20,693,238,2,103.6
31-Jul-20,1063,238,2,103.6
30-Jul-20,1046,238,2,103.6
29-Jul-20,826,238,2,103.6
28-Jul-20,500,238,2,103.6
27-Jul-20,609,238,2,103.6
26-Jul-20,633,238,2,103.6
25-Jul-20,811,238,2,103.6
24-Jul-20,570,238,2,103.6
23-Jul-20,302,238,2,103.6
22-Jul-20,220,380,1,103.6
21-Jul-20,180,131,0,103.6
20-Jul-20,326,677,2,103.6
19-Jul-20,221,466,3,103.6
18-Jul-20,289,448,2,103.6
17-Jul-20,181,396,3,103.6
16-Jul-20,283,238,2,103.6
15-Jul-20,165,238,2,103.6
14-Jul-20,161,238,2,103.6
13-Jul-20,191,238,2,103.6
12-Jul-20,203,238,2,103.6
11-Jul-20,214,238,2,103.6
10-Jul-20,249,380,1,103.6
9-Jul-20,308,131,0,103.6
8-Jul-20,164,677,2,103.6
7-Jul-20,228,466,3,103.6
6-Jul-20,164,448,2,103.6
5-Jul-20,393,396,3,103.6
4-Jul-20,534,169,2,103.6
3-Jul-20,319,70,1,103.6
2-Jul-20,333,64,1,103.6
1-Jul-20,103,106,0,103.6
30-Jun-20,243,87,3,103.6
29-Jun-20,238,93,4,103.6
28-Jun-20,175,17,1,100.4
27-Jun-20,244,67,2,100.4
26-Jun-20,295,156,1,100.4
25-Jun-20,431,32,1,100.4
24-Jun-20,563,61,2,100.4
23-Jun-20,172,41,0,100.4
22-Jun-20,195,82,0,100.4
21-Jun-20,138,61,1,88.3
20-Jun-20,226,106,0,88.3
19-Jun-20,539,76,0,88.3
18-Jun-20,77,48,0,88.3
17-Jun-20,66,56,1,88.3
16-Jun-20,46,109,0,88.3
15-Jun-20,92,63,0,88.3
14-Jun-20,101,69,0,82.9
13-Jun-20,82,78,0,82.9
12-Jun-20,73,35,1,82.9
11-Jun-20,29,18,0,82.9
10-Jun-20,71,72,1,82.9
9-Jun-20,135,85,2,82.9
8-Jun-20,78,44,0,82.9
7-Jun-20,73,49,0,83.1
6-Jun-20,80,47,0,83.1
5-Jun-20,68,73,0,83.1
4-Jun-20,81,329,2,83.1
3-Jun-20,56,456,0,83.1
2-Jun-20,33,517,1,83.1
1-Jun-20,26,434,0,83.1
31-May-20,27,58,1,84.8
30-May-20,66,130,2,84.8
29-May-20,71,76,0,84.8
28-May-20,42,217,0,84.8
27-May-20,24,97,0,84.8
26-May-20,45,107,2,84.8
25-May-20,99,71,1,84.8
24-May-20,27,65,1,87.4
23-May-20,74,261,1,87.4
22-May-20,121,97,1,87.4
21-May-20,78,182,2,87.4
20-May-20,110,197,1,87.4
19-May-20,71,143,1,87.4
18-May-20,82,98,0,87.4
17-May-20,129,173,0,88.1
16-May-20,89,87,2,88.1
15-May-20,45,90,0,88.1
14-May-20,95,179,2,88.1
13-May-20,94,140,0,88.1
12-May-20,137,180,0,88.1
11-May-20,218,257,0,88.1
10-May-20,153,93,2,85.4
9-May-20,199,137,0,85.4
8-May-20,163,145,3,85.4
7-May-20,140,162,0,85.4
6-May-20,189,179,2,85.4
5-May-20,166,185,2,85.4
4-May-20,150,215,5,85.4
3-May-20,174,182,1,77.8
2-May-20,160,173,2,77.8
1-May-20,146,99,1,77.8
30-Apr-20,102,56,2,77.8
29-Apr-20,69,150,3,77.8
28-Apr-20,132,83,3,77.8
27-Apr-20,55,102,1,77.8
26-Apr-20,168,56,2,72.6
25-Apr-20,139,51,1,72.6
24-Apr-20,190,30,3,72.6
23-Apr-20,122,39,6,72.6
22-Apr-20,237,24,4,72.6
21-Apr-20,163,43,2,72.6
20-Apr-20,191,23,2,72.6
19-Apr-20,170,13,4,58.3
18-Apr-20,121,33,2,58.3
17-Apr-20,281,32,5,58.3
16-Apr-20,259,20,3,58.3
15-Apr-20,136,12,1,58.3
14-Apr-20,125,14,0,58.3
13-Apr-20,102,26,8,58.3
12-Apr-20,116,31,7,39.6
11-Apr-20,97,24,4,39.6
10-Apr-20,74,13,10,39.6
9-Apr-20,99,12,4,39.6
8-Apr-20,91,4,3,39.6
7-Apr-20,64,12,10,39.6
6-Apr-20,99,5,10,39.6
5-Apr-20,102,10,11,29.1
4-Apr-20,128,9,11,29.1
3-Apr-20,83,26,4,29.1
2-Apr-20,54,2,5,29.1
1-Apr-20,37,5,3,29.1
31-Mar-20,61,9,3,29.1
30-Mar-20,77,2,7,29.1
29-Mar-20,77,1,1,17.1
28-Mar-20,57,1,2,17.1
27-Mar-20,70,3,13,17.1
26-Mar-20,50,1,4,17.1
25-Mar-20,55,1,1,17.1
24-Mar-20,27,1,1,17.1
23-Mar-20,28,2,0,17.1
22-Mar-20,19,0,1,5.4
21-Mar-20,17,1,0,5.4
20-Mar-20,16,0,1,5.4
19-Mar-20,9,1,0,5.4
18-Mar-20,10,0,0,5.4
17-Mar-20,7,0,1,5.4
16-Mar-20,9,0,0,5.4
15-Mar-20,10,0,0,2
14-Mar-20,10,0,0,2
13-Mar-20,2,1,0,2
12-Mar-20,0,0,0,2
11-Mar-20,3,0,0,2
10-Mar-20,0,0,1,2
9-Mar-20,1,0,0,2
8-Mar-20,0,0,0,0.2
7-Mar-20,0,0,0,0.2
6-Mar-20,0,0,0,0.2
5-Mar-20,0,0,0,0.2
4-Mar-20,1,0,0,0.2
3-Mar-20,0,0,0,0.2
2-Mar-20,1,0,0,0.2